Gene,Hw1-5a,Hw1-5b,Hw1-5c,Hw2-5a,Hw2-5b,Hw2-5c,Wt1-5a,Wt1-5b,Wt1-5c,Wt2-5a,Wt2-5b,Wt2-5c
FMO1,201,191,266,241,246,183,41,82,142,36,60,33
fmt,58,33,85,66,73,28,20,26,34,6,13,4
FNTB,53,31,76,70,79,46,9,22,6,4,5,0
FOLD2,306,222,487,283,381,127,67,126,112,34,58,45
FOLR3,8,3,10,11,7,3,22,22,30,10,14,7
for,61,62,148,172,178,67,83,120,118,57,57,28
foxred1,20,14,33,21,45,14,16,36,36,13,13,10
FPR1,4,1,1,1,3,0,1,0,1,0,0,0
FPR2,7,7,7,11,19,7,6,3,4,1,1,0
Fras1,398,421,674,453,411,280,116,168,194,96,102,67
FRQ1,270,139,282,184,257,127,73,190,189,63,83,52
frs-2,164,83,219,82,115,63,60,73,110,26,50,28
FTCD,621,644,945,928,894,483,149,311,402,109,203,124
FTH1,28,30,68,63,73,29,20,30,41,11,17,13
FTR1,10,19,40,30,40,11,12,6,14,10,7,3
ftsH,344,239,540,443,550,236,190,293,392,127,209,133
ftsH1,56,27,71,142,115,51,33,59,77,33,50,15
FTSH10,51,51,112,95,125,77,59,63,129,34,45,43
ftsH3,27,53,106,75,100,24,46,72,62,24,38,27
Fubp1,401,260,566,487,543,259,168,229,312,114,179,147
FUC1,96,63,89,85,79,57,11,38,50,21,22,18
fucT,42,34,64,52,44,28,27,50,99,42,45,26
FucT6,15,12,12,14,15,8,12,8,18,9,14,11
fumB,245,217,373,437,379,264,123,245,402,148,240,138
fusA,559,549,1150,1015,1141,458,365,510,593,207,302,254
fusA2,3,14,18,13,11,11,7,9,25,10,7,19
FV3-083R,101,71,157,116,125,66,29,39,46,22,23,19
FXR2,352,218,419,381,420,215,69,119,143,48,87,38
GA11319,47,39,80,89,95,37,38,56,57,25,31,15
Gaa,48,51,92,142,142,47,33,55,98,22,36,19
gab-1,102,84,150,129,142,75,47,84,123,39,63,15
Gabbr1,89,153,271,217,213,124,29,51,33,7,12,8
GABBR2,182,242,420,422,398,186,102,150,210,78,99,80
