Gene,Hw1-1a,Hw1-1b,Hw1-1c,Hw2-1a,Hw2-1b,Hw2-1c,Wt1-1a,Wt1-1b,Wt1-1c,Wt2-1a,Wt2-1b,Wt2-1c
AK812_SmicGene3557,2,2,1,2,0,0,2,13,4,2,1,2
AK812_SmicGene35803,3,9,2,9,2,2,12,19,7,21,4,9
AK812_SmicGene36,15,15,12,20,7,7,2,15,3,16,2,4
AK812_SmicGene36189,11,11,15,18,9,10,18,38,15,30,8,18
AK812_SmicGene36363,7,4,5,8,7,4,3,0,1,3,2,1
AK812_SmicGene36391,3,8,10,8,8,1,11,15,5,7,2,9
AK812_SmicGene36418,68,43,59,66,42,30,20,46,23,35,16,20
AK812_SmicGene37141,39,38,44,52,24,18,27,73,26,55,11,29
AK812_SmicGene37382,56,61,94,118,60,37,19,46,25,75,8,18
AK812_SmicGene37828,25,14,22,21,20,16,19,40,31,67,15,25
AK812_SmicGene37828,50,81,97,99,45,46,59,181,96,152,37,55
AK812_SmicGene37972,23,22,24,30,8,9,16,42,21,34,11,19
AK812_SmicGene38714,6,5,6,6,3,2,0,4,5,11,0,1
AK812_SmicGene38747,34,42,59,59,40,31,28,45,21,67,21,24
AK812_SmicGene39686,36,33,47,98,38,35,25,75,22,66,16,24
AK812_SmicGene39795,4,15,11,14,6,6,7,21,5,6,7,7
AK812_SmicGene39947,12,18,14,29,6,19,11,26,11,26,3,17
AK812_SmicGene40181,155,137,121,129,85,67,46,77,42,79,15,27
AK812_SmicGene40181,0,2,2,3,1,1,2,5,4,6,1,3
AK812_SmicGene40583,58,42,55,84,39,17,13,39,18,46,10,14
AK812_SmicGene40583,46,67,82,66,43,21,20,36,37,88,11,20
AK812_SmicGene41491,21,29,16,22,18,20,15,14,10,37,5,8
AK812_SmicGene41645,12,28,16,38,22,24,10,14,7,21,4,13
AK812_SmicGene41645,9,14,20,19,6,9,3,4,3,13,7,7
AK812_SmicGene41654,44,53,35,51,23,21,16,43,31,43,8,18
AK812_SmicGene4195,22,16,29,42,28,16,10,13,3,22,9,6
AK812_SmicGene42205,4,4,4,5,1,3,0,3,1,3,1,2
AK812_SmicGene42282,9,12,13,14,2,6,6,22,15,24,6,14
AK812_SmicGene42478,88,119,158,153,104,78,54,125,77,182,30,57
AK812_SmicGene42885,7,17,14,13,15,9,10,24,5,19,8,8
AK812_SmicGene434,1,3,2,1,2,1,4,4,5,6,2,5
AK812_SmicGene43415,44,34,47,42,30,17,21,23,15,39,8,8
AK812_SmicGene43415,1,2,2,2,1,0,6,10,8,9,5,2
AK812_SmicGene43432,1,2,1,1,2,0,1,3,1,7,1,0
AK812_SmicGene43485,15,16,28,38,26,14,45,126,44,121,57,63
AK812_SmicGene43656,11,27,36,15,7,6,4,22,12,18,7,5
AK812_SmicGene44292,0,0,0,0,0,0,0,0,0,19,12,20
AK812_SmicGene4925,0,1,1,1,2,1,11,10,7,3,1,0
AK812_SmicGene494,18,10,14,10,5,2,3,7,4,2,2,8
AK812_SmicGene5213,6,5,7,16,11,3,10,23,11,27,8,6
AK812_SmicGene5452,4,6,7,12,5,2,8,7,4,6,5,7
AK812_SmicGene5663,4,9,12,11,10,6,12,20,13,23,6,1
AK812_SmicGene5851,4,12,24,15,3,3,15,20,13,16,5,11
AK812_SmicGene5851,19,20,15,21,13,17,9,22,14,16,6,7
AK812_SmicGene5925,7,17,24,50,24,17,16,34,23,76,11,16
AK812_SmicGene5978,23,18,38,43,22,15,14,23,10,31,7,16
AK812_SmicGene617,6,4,3,5,2,1,0,0,1,2,0,2
AK812_SmicGene6745,18,32,42,28,15,9,17,27,15,46,6,6
AK812_SmicGene6889,9,15,16,21,13,10,12,24,10,40,10,20
AK812_SmicGene7068,16,26,29,11,3,2,13,18,10,15,6,5
AK812_SmicGene7686,5,6,3,1,7,2,4,10,8,4,1,2
AK812_SmicGene7786,21,31,26,114,46,64,13,23,18,127,46,85
AK812_SmicGene7918,21,51,68,58,27,18,40,71,30,70,22,39
AK812_SmicGene8098,45,35,25,38,21,22,13,32,18,27,6,7
AK812_SmicGene845,5,3,11,4,3,4,1,1,5,5,1,0
AK812_SmicGene8477,5,9,16,10,4,3,9,24,12,27,6,6
AK812_SmicGene8686,111,117,101,121,72,71,32,80,43,126,31,36
AK812_SmicGene8970,22,29,41,52,18,10,11,33,14,33,3,4
AK812_SmicGene9044,35,58,59,123,68,64,41,97,42,162,19,56
AK812_SmicGene916,7,17,14,23,12,2,2,9,3,18,6,0
AKHSDH1,34,51,39,85,48,48,57,94,62,121,25,28
AKHSDH2,25,25,43,40,26,15,13,29,10,38,13,13
AKR1,15,8,25,19,9,12,8,12,14,29,3,4
AKR1,41,40,45,57,57,34,63,111,58,94,19,31
akr1,36,28,37,42,22,23,11,19,9,34,8,8
akr1a1b,33,25,24,41,24,21,8,30,13,42,3,16
